Keyword,Reply_EN,Reply_KH
dengue,Dengue is a viral infection spread by mosquitoes.,ឌិនហ្គី គឺជាការឆ្លងវីរុសដែលផ្សាយតាមពស់កណ្តុរ។
malaria,Malaria is caused by parasites transmitted by mosquitoes.,ជំងឺមាលារីយ៉ា បង្កឡើងដោយរ៉ាស៊ីតផ្ញើតាមពស់កណ្តុរ។
cancer,Cancer is the abnormal growth of cells in the body.,មហារីក គឺជាការរីកចម្រើនមិនធម្មតារបស់កោសិកា។
diabetes,Diabetes is a disease that affects how your body uses blood sugar.,ជំងឺទឹកនោមផ្អែម ជំងឺដែលប៉ះពាល់ដល់ការប្រើប្រាស់ស្ករនៅក្នុងឈាម។
flu,Influenza (flu) is a contagious respiratory illness caused by viruses.,ជំងឺផ្លួ (ហ្វ្លូ) គឺជាជំងឺផ្លូវដង្ហើមឆ្លងតាមវីរុស។
covid-19,COVID-19 is caused by the SARS-CoV-2 virus and affects the respiratory system.,COVID-19 បង្កឡើងដោយវីរុស SARS-CoV-2 និងប៉ះពាល់ដល់ប្រព័ន្ធដង្ហើម។
tuberculosis,TB is a bacterial infection that mainly affects the lungs.,ជំងឺទុបឺរគុលូស៊ីស គឺជាការឆ្លងមេរោគដែលប៉ះពាល់ដល់សួតជាធំជាងគេ។
heart disease,Heart disease includes conditions that affect the heart’s function.,ជំងឺបេះដូង មានលក្ខខណ្ឌដែលប៉ះពាល់ដល់សកម្មភាពបេះដូង។
stroke,Stroke occurs when blood flow to the brain is blocked or reduced.,ការធ្លាក់ផ្លូវឈាមទៅខួរក្បាលកើតឡើងពេលឈាមរលាកឬបាត់បង់។
hypertension,High blood pressure is a condition where the force of blood is too high.,សំពាធឈាមខ្ពស់ គឺជាស្ថានភាពដែលសំពាធឈាមខ្ពស់ពេក។
hepatitis,Hepatitis is inflammation of the liver caused by viruses.,ជំងឺតាកោសិកា (hepatitis) គឺជាការឈឺសាច់ស៊េរីកដោយវីរុស។
